教二四层西到东,教二三层西到东,教二二层西到东,教二一层西到东,教二外部逆时针,教三一层东到西,教三二层东到西
43.4,38.5,33.6,34.2,54.9,47.5,36.9
44.7,36.2,34.3,37.4,51.7,43.3,36.6
41.4,39.5,37.8,38.8,51.2,40.6,40.6
37.7,37.0,38.2,39.1,53.4,43.0,41.0
39.7,36.2,37.8,39.1,43.4,41.3,37.7
39.9,38.7,39.8,40.0,54.3,38.8,40.0
43.1,33.7,39.1,39.5,52.1,40.5,41.6
44.8,38.1,37.9,41.5,54.6,37.0,42.1
43.2,36.3,40.3,39.8,45.5,38.7,39.4
41.5,38.1,36.2,39.9,50.0,41.2,45.7
41.1,39.3,40.9,39.9,49.2,41.2,42.8
38.6,43.1,36.7,40.7,51.6,41.8,48.3
41.1,37.2,39.0,40.8,53.3,39.8,46.1
40.8,44.8,37.0,40.1,48.0,38.9,44.8
45.2,49.7,38.3,40.9,51.1,39.5,43.3
40.7,44.5,38.7,41.3,49.4,35.4,44.7
43.0,42.5,31.3,43.0,49.1,41.2,44.4
42.6,43.5,36.7,40.4,50.3,38.2,41.0
44.5,38.9,32.1,39.5,57.6,42.6,43.8
43.4,41.6,34.4,39.9,48.0,39.9,39.8
45.6,46.1,37.1,40.3,48.9,38.4,45.6
46.5,43.1,36.3,39.5,43.5,40.8,41.9
42.6,45.5,37.9,38.4,46.5,34.6,46.6
45.5,45.9,32.6,38.0,50.0,40.3,44.2
44.2,49.7,35.1,40.2,47.4,40.7,47.5
43.8,46.5,35.0,41.6,51.6,38.1,45.7
38.1,36.5,37.8,42.0,45.6,38.2,43.0
45.6,38.0,40.2,41.8,49.7,40.0,46.5
45.2,41.4,37.6,41.0,50.7,41.3,38.5
41.4,39.3,38.4,44.1,51.2,40.0,35.5
41.8,37.9,32.9,41.3,58.0,39.2,40.4
40.0,42.0,36.9,40.3,57.1,36.2,42.5
50.6,37.9,37.7,42.0,52.5,42.0,41.0
38.8,34.9,38.7,39.1,55.2,42.1,39.3
45.8,40.6,36.6,40.6,52.3,45.1,40.6
42.3,43.7,40.3,40.2,48.8,43.1,41.8
46.5,37.2,41.5,38.0,56.2,43.5,44.8
41.4,36.9,39.2,41.3,52.8,41.7,44.1
43.9,38.8,41.2,42.5,59.5,43.7,
37.4,35.9,37.6,40.4,49.1,47.1,
38.7,37.2,40.3,40.4,53.4,45.8,
43.4,41.5,38.2,38.6,54.2,46.0,
42.1,44.2,39.6,42.7,56.7,43.9,
39.6,43.4,35.4,41.5,45.3,46.0,
37.0,42.6,37.6,38.6,56.1,40.8,
38.8,42.3,33.6,40.8,57.5,45.0,
39.2,41.9,38.3,35.4,50.7,39.9,
42.4,37.7,38.6,38.6,47.0,38.7,
42.6,40.6,35.8,37.5,52.8,38.8,
41.8,41.8,38.2,38.9,43.1,36.0,
41.9,40.7,36.6,38.1,60.0,39.9,
37.8,40.2,34.3,37.9,55.6,42.0,
42.6,41.1,33.6,37.1,57.3,41.2,
,,,,48.3,43.3,
,,,,49.7,46.8,
,,,,56.8,51.2,
,,,,49.1,48.0,
,,,,55.7,43.1,
,,,,48.9,44.2,
,,,,55.5,43.4,
,,,,53.0,46.9,
,,,,49.2,44.0,
,,,,47.6,45.7,
,,,,54.4,44.6,
,,,,49.0,44.1,
,,,,52.1,44.6,
,,,,49.8,41.5,
,,,,49.8,45.1,
,,,,53.3,41.2,
,,,,51.1,43.5,
,,,,52.0,37.7,
,,,,52.7,40.9,
,,,,50.3,42.3,
,,,,53.4,,
,,,,50.0,,
,,,,47.5,,
,,,,43.5,,
,,,,55.5,,
,,,,48.3,,
,,,,49.1,,
,,,,43.5,,
,,,,46.4,,
,,,,48.9,,
,,,,50.6,,
,,,,53.3,,
,,,,51.5,,
,,,,54.5,,
,,,,50.4,,
,,,,52.8,,
,,,,49.0,,
,,,,50.2,,
,,,,45.9,,
,,,,47.9,,
,,,,46.4,,
,,,,47.9,,
,,,,53.4,,
,,,,53.8,,
,,,,50.0,,
,,,,50.2,,
,,,,44.1,,
,,,,51.6,,
,,,,45.6,,
,,,,49.2,,
,,,,47.3,,
,,,,46.1,,
,,,,49.0,,
,,,,49.4,,
,,,,46.5,,
,,,,48.1,,
,,,,51.6,,
,,,,51.2,,
,,,,47.8,,
,,,,46.8,,
,,,,48.9,,
,,,,46.9,,
,,,,48.7,,
,,,,49.0,,
,,,,42.2,,
,,,,45.2,,
,,,,45.0,,
,,,,47.3,,
,,,,50.7,,
,,,,46.7,,
,,,,51.0,,
,,,,45.1,,
,,,,46.9,,
,,,,55.7,,
,,,,49.1,,
,,,,50.5,,
,,,,53.0,,
,,,,53.0,,
,,,,48.3,,
,,,,51.7,,
,,,,52.6,,
,,,,53.0,,
,,,,56.5,,
,,,,54.4,,
,,,,54.5,,
,,,,58.8,,
,,,,57.6,,
,,,,54.2,,
,,,,57.7,,
,,,,52.6,,
,,,,57.0,,
,,,,54.7,,
,,,,52.4,,
,,,,52.0,,
,,,,45.9,,
,,,,53.6,,
,,,,53.0,,
,,,,57.9,,
,,,,50.8,,
,,,,48.1,,
,,,,47.9,,
,,,,53.4,,
,,,,50.8,,
,,,,45.5,,
,,,,53.2,,
,,,,50.7,,
,,,,56.4,,
,,,,51.2,,
,,,,52.1,,
,,,,56.4,,
,,,,51.5,,
,,,,57.4,,
,,,,53.0,,
,,,,47.8,,
,,,,54.5,,
,,,,57.1,,
,,,,55.0,,
,,,,58.3,,
,,,,53.3,,
,,,,55.9,,
,,,,55.7,,
,,,,53.1,,
,,,,52.3,,
,,,,51.5,,
,,,,51.4,,
,,,,54.4,,
,,,,53.2,,
,,,,48.9,,
,,,,53.6,,
,,,,45.9,,
,,,,42.9,,
,,,,49.2,,
,,,,46.9,,
