location,metric,value
Bocconi/Navigli,平均流量,704.4787394918309
Bocconi/Navigli,标准差,699.7758755396534
Bocconi/Navigli,最大值,3655.099143571324
Bocconi/Navigli,最小值,1.4251196584678993
Bocconi/Navigli,白天均值(8-20时),2646.885003625547
Bocconi/Navigli,夜间均值(22-6时),555.9471919667643
Bocconi/Navigli,早高峰均值(8时),1872.4111361282712
Bocconi/Navigli,晚高峰均值(18时),2931.2950185554846
Duomo市中心,平均流量,606.2500934157889
Duomo市中心,标准差,587.4772224821173
Duomo市中心,最大值,3149.4159594322673
Duomo市中心,最小值,2.183133027664851
Duomo市中心,白天均值(8-20时),3564.187728509293
Duomo市中心,夜间均值(22-6时),450.96902185258836
Duomo市中心,早高峰均值(8时),2074.7386802159554
Duomo市中心,晚高峰均值(18时),3687.1900768254445
Fiera居住区,平均流量,816.4483766690039
Fiera居住区,标准差,1071.8193607174478
Fiera居住区,最大值,6612.791686924896
Fiera居住区,最小值,0.22735714200959278
Fiera居住区,白天均值(8-20时),2670.7387406976623
Fiera居住区,夜间均值(22-6时),312.0694720095407
Fiera居住区,早高峰均值(8时),1785.0869262871358
Fiera居住区,晚高峰均值(18时),2795.2680882823092
Top1,平均流量,703.4644394282221
Top1,标准差,694.1255103833516
Top1,最大值,3581.883120417894
Top1,最小值,0.6173982488504047
Top1,白天均值(8-20时),4472.890950012508
Top1,夜间均值(22-6时),644.8364882160967
Top1,早高峰均值(8时),2950.697211806944
Top1,晚高峰均值(18时),4645.115674280017
Top3,平均流量,368.314855923472
Top3,标准差,349.0768578559983
Top3,最大值,2006.792949484001
Top3,最小值,1.771332028566097
Top3,白天均值(8-20时),3567.4212066072423
Top3,夜间均值(22-6时),563.9791469070049
Top3,早高峰均值(8时),2290.8285557936993
Top3,晚高峰均值(18时),3587.0818194414587
