grid_id,date_label,hour_of_day,traffic
0,普通工作日,22,46.76100323910215
0,普通工作日,23,21.54779107587475
0,普通工作日,0,9.750135428033092
0,普通工作日,1,6.086568258536135
0,普通工作日,2,0.9933363081681612
0,普通工作日,3,1.2699012688853462
0,普通工作日,4,3.288105023678596
0,普通工作日,5,7.2254431594711495
0,普通周末,22,38.99577491420698
0,普通周末,23,22.64161803208374
0,普通周末,0,22.3921298400593
0,普通周末,1,12.81557607387986
0,普通周末,2,9.54409425144477
0,普通周末,3,7.970227338454243
0,普通周末,4,4.095286310530108
0,普通周末,5,5.2958855564960166
0,平安夜,22,50.92049258223508
0,平安夜,23,44.05436611927279
0,平安夜,0,15.863779158553
0,平安夜,1,9.436641686992354
0,平安夜,2,8.149447213531783
0,平安夜,3,6.595336463676515
0,平安夜,4,6.569134663284715
0,平安夜,5,7.731830430126834
0,新年夜(12月30日),22,43.335114308326006
0,新年夜(12月30日),23,19.817874544001214
0,新年夜(12月30日),0,9.725915772925205
0,新年夜(12月30日),1,11.019608569172979
0,新年夜(12月30日),2,3.171033931234043
0,新年夜(12月30日),3,6.237629038508951
0,新年夜(12月30日),4,3.535047101703158
0,新年夜(12月30日),5,6.764031351992514
100,普通工作日,22,26.953427173969676
100,普通工作日,23,14.37158976360047
100,普通工作日,0,11.968581236801834
100,普通工作日,1,5.437089996059922
100,普通工作日,2,3.5205056073087397
100,普通工作日,3,1.369678582118501
100,普通工作日,4,1.4947787030532698
100,普通工作日,5,3.6814355952562647
100,普通周末,22,29.048401109741654
100,普通周末,23,10.32997802682528
100,普通周末,0,11.253135775212826
100,普通周末,1,15.74485945125538
100,普通周末,2,5.7589444271457975
100,普通周末,3,4.579981595347166
100,普通周末,4,2.819698886272464
100,普通周末,5,5.86858846455062
100,平安夜,22,34.30598158519362
100,平安夜,23,32.71447371180345
100,平安夜,0,9.933391673573027
100,平安夜,1,4.766500899257808
100,平安夜,2,2.7773508032140315
100,平安夜,3,5.080667814650352
100,平安夜,4,3.784479667895076
100,平安夜,5,5.459967781600284
100,新年夜(12月30日),22,29.320521086547384
100,新年夜(12月30日),23,18.52695519222387
100,新年夜(12月30日),0,14.112021500936146
100,新年夜(12月30日),1,4.776037871201224
100,新年夜(12月30日),2,3.320833052717323
100,新年夜(12月30日),3,2.407504544100451
100,新年夜(12月30日),4,2.591219004431704
100,新年夜(12月30日),5,2.5804259729989365
171,普通工作日,22,1882.272508670078
171,普通工作日,23,1141.2667404652784
171,普通工作日,0,469.58057676113515
171,普通工作日,1,307.8508720680014
171,普通工作日,2,160.60594295107555
171,普通工作日,3,141.54243842486596
171,普通工作日,4,113.95718619366744
171,普通工作日,5,162.30520298532687
171,普通周末,22,1271.343993466367
171,普通周末,23,823.311173281124
171,普通周末,0,1417.8763707782077
171,普通周末,1,994.902000771095
171,普通周末,2,702.9164029329686
171,普通周末,3,484.4847472634693
171,普通周末,4,397.0908026911168
171,普通周末,5,362.7864096844833
171,平安夜,22,731.2317996940142
171,平安夜,23,638.3077100791709
171,平安夜,0,440.0443261817815
171,平安夜,1,333.4554545022565
171,平安夜,2,170.06444733031645
171,平安夜,3,124.8834223011411
171,平安夜,4,128.2684002178427
171,平安夜,5,183.02044819776944
171,新年夜(12月30日),22,778.5255138222695
171,新年夜(12月30日),23,569.2108061157954
171,新年夜(12月30日),0,343.04480285972534
171,新年夜(12月30日),1,339.38006035579014
171,新年夜(12月30日),2,192.36104338371558
171,新年夜(12月30日),3,135.1770498839731
171,新年夜(12月30日),4,177.83382150635
171,新年夜(12月30日),5,144.14122454551645
212,普通工作日,22,1210.2388427852054
212,普通工作日,23,892.5768027597733
212,普通工作日,0,443.5265708623257
212,普通工作日,1,313.73776557833173
212,普通工作日,2,227.88086847185212
212,普通工作日,3,273.80354097709335
212,普通工作日,4,208.88470301306083
212,普通工作日,5,273.09902840215943
212,普通周末,22,752.8660647290735
212,普通周末,23,514.6460765921022
212,普通周末,0,763.7152671867801
212,普通周末,1,581.5578960813216
212,普通周末,2,380.96890906933334
212,普通周末,3,360.9734879655109
212,普通周末,4,288.9601346663407
212,普通周末,5,266.95945595854494
212,平安夜,22,555.8741355524724
212,平安夜,23,751.4642443896611
212,平安夜,0,401.90112583705843
212,平安夜,1,300.72801554670474
212,平安夜,2,201.69857234125274
212,平安夜,3,220.79732293035062
212,平安夜,4,160.27589663442672
212,平安夜,5,254.422918046033
212,新年夜(12月30日),22,560.2173751457899
212,新年夜(12月30日),23,408.65134655967205
212,新年夜(12月30日),0,291.7544642755743
212,新年夜(12月30日),1,238.0709475279879
212,新年夜(12月30日),2,199.42206839778734
212,新年夜(12月30日),3,188.5502795945571
212,新年夜(12月30日),4,209.04859951907127
212,新年夜(12月30日),5,178.1744607743526
