slot,hour,row,col,avg_traffic
早高峰,8,0,0,95.67374881869131
早高峰,8,0,1,104.38857315513603
早高峰,8,0,2,39.05911436977319
早高峰,8,0,3,45.087134610974196
早高峰,8,0,4,57.96224347941371
早高峰,8,0,5,56.96960198747104
早高峰,8,0,6,63.061299913130874
早高峰,8,0,7,111.54020766879061
早高峰,8,0,8,167.1319502390873
早高峰,8,0,9,330.0775109844847
早高峰,8,0,10,158.64642730453951
早高峰,8,0,11,116.03242153019544
早高峰,8,0,12,135.87090972564854
早高峰,8,0,13,198.419628914948
早高峰,8,0,14,119.72765702430542
早高峰,8,0,15,105.6281277736863
早高峰,8,0,16,58.260979622342056
早高峰,8,0,17,62.45388556313279
早高峰,8,0,18,106.25299389591059
早高峰,8,0,19,158.338465342888
早高峰,8,1,0,41.018764727777125
早高峰,8,1,1,39.54521698394659
早高峰,8,1,2,39.08880630995817
早高峰,8,1,3,41.52552594353297
早高峰,8,1,4,55.0048184154507
早高峰,8,1,5,53.940514846867345
早高峰,8,1,6,65.69339655048262
早高峰,8,1,7,136.57694089381505
早高峰,8,1,8,157.4286979533953
早高峰,8,1,9,433.3254182028762
早高峰,8,1,10,560.2626343641193
早高峰,8,1,11,299.2232404376662
早高峰,8,1,12,332.1196590263906
早高峰,8,1,13,324.06360689523564
早高峰,8,1,14,132.36432747196764
早高峰,8,1,15,130.6269001896966
早高峰,8,1,16,98.06814907052008
早高峰,8,1,17,58.86963752085625
早高峰,8,1,18,79.26748850685411
早高峰,8,1,19,120.09601986442573
早高峰,8,2,0,43.36784259915704
早高峰,8,2,1,43.12195181235802
早高峰,8,2,2,55.9191639671618
早高峰,8,2,3,53.793880657299
早高峰,8,2,4,52.47223917831708
早高峰,8,2,5,51.04685062032378
早高峰,8,2,6,78.77958805295118
早高峰,8,2,7,148.42434140673853
早高峰,8,2,8,167.01279765241785
早高峰,8,2,9,713.3024520261517
早高峰,8,2,10,817.2834588187555
早高峰,8,2,11,352.331347542083
早高峰,8,2,12,289.6212871452515
早高峰,8,2,13,306.4373910843311
早高峰,8,2,14,191.32896881293766
早高峰,8,2,15,150.20564692825903
早高峰,8,2,16,202.62006192867062
早高峰,8,2,17,208.51567086103555
早高峰,8,2,18,149.9570127788907
早高峰,8,2,19,220.1285438062373
早高峰,8,3,0,46.36464099168711
早高峰,8,3,1,63.373586256919495
早高峰,8,3,2,102.83368020247067
早高峰,8,3,3,100.15185204232706
早高峰,8,3,4,80.91557516487427
早高峰,8,3,5,91.52644538500321
早高峰,8,3,6,73.43465914669812
早高峰,8,3,7,136.6820761143854
早高峰,8,3,8,268.91911310735213
早高峰,8,3,9,523.2115381873822
早高峰,8,3,10,447.71759735231075
早高峰,8,3,11,192.20972382068788
早高峰,8,3,12,94.45202420403416
早高峰,8,3,13,234.25249269570273
早高峰,8,3,14,189.9549017064614
早高峰,8,3,15,168.45208541921798
早高峰,8,3,16,428.0083837806726
早高峰,8,3,17,427.33062912028737
早高峰,8,3,18,336.921119249955
早高峰,8,3,19,230.63480966153253
早高峰,8,4,0,54.083141242413575
早高峰,8,4,1,129.95954044101865
早高峰,8,4,2,136.97443287634283
早高峰,8,4,3,140.0374171210554
早高峰,8,4,4,130.5002862097984
早高峰,8,4,5,94.895423873034
早高峰,8,4,6,164.97327165035375
早高峰,8,4,7,390.14188167389455
早高峰,8,4,8,358.06407299449313
早高峰,8,4,9,436.94608259870864
早高峰,8,4,10,320.1599367462371
早高峰,8,4,11,146.83404902464528
