day_type,day_index,date,hour,traffic
工作日,7,2013-11-08,0,724.9315285974673
工作日,7,2013-11-08,1,399.75799975866613
工作日,7,2013-11-08,2,196.5732041615452
工作日,7,2013-11-08,3,196.9023578259036
工作日,7,2013-11-08,4,174.38771086154213
工作日,7,2013-11-08,5,140.97103376021465
工作日,7,2013-11-08,6,315.7285477964805
工作日,7,2013-11-08,7,969.485285793589
工作日,7,2013-11-08,8,3096.23184380903
工作日,7,2013-11-08,9,3089.3115177847453
工作日,7,2013-11-08,10,3095.4699394761037
工作日,7,2013-11-08,11,2982.332772183985
工作日,7,2013-11-08,12,3112.6412239652773
工作日,7,2013-11-08,13,2816.022936908477
工作日,7,2013-11-08,14,3245.119989874891
工作日,7,2013-11-08,15,2933.9694373878892
工作日,7,2013-11-08,16,3265.353355206269
工作日,7,2013-11-08,17,3447.497650802151
工作日,7,2013-11-08,18,3406.6835514785694
工作日,7,2013-11-08,19,3353.144850906758
工作日,7,2013-11-08,20,2684.3975342696235
工作日,7,2013-11-08,21,2271.695141391852
工作日,7,2013-11-08,22,1731.2006295446388
工作日,7,2013-11-08,23,1476.9486188616033
工作日,8,2013-11-09,0,952.092868288642
工作日,8,2013-11-09,1,560.8722123231737
工作日,8,2013-11-09,2,333.8544161002972
工作日,8,2013-11-09,3,315.47030785621996
工作日,8,2013-11-09,4,220.75070551034918
工作日,8,2013-11-09,5,238.31837166476186
工作日,8,2013-11-09,6,288.653898461846
工作日,8,2013-11-09,7,552.0973254403436
工作日,8,2013-11-09,8,1406.0201052442046
工作日,8,2013-11-09,9,2692.060605202281
工作日,8,2013-11-09,10,2897.2591633251945
工作日,8,2013-11-09,11,2694.2806481403427
工作日,8,2013-11-09,12,2740.7873997995807
工作日,8,2013-11-09,13,2726.6654157002904
工作日,8,2013-11-09,14,2101.4806121541446
工作日,8,2013-11-09,15,1958.3092793656008
工作日,8,2013-11-09,16,2370.3210045123446
工作日,8,2013-11-09,17,3106.8173904146465
工作日,8,2013-11-09,18,3027.534246662567
工作日,8,2013-11-09,19,2862.6394789619117
工作日,8,2013-11-09,20,2366.171220970858
工作日,8,2013-11-09,21,1843.0765590247295
工作日,8,2013-11-09,22,1562.1138775560985
工作日,8,2013-11-09,23,1460.3830030052761
工作日,9,2013-11-10,0,1331.6506246273518
工作日,9,2013-11-10,1,918.062310156434
工作日,9,2013-11-10,2,527.8822145627743
工作日,9,2013-11-10,3,404.0609889101401
工作日,9,2013-11-10,4,275.44701335268144
工作日,9,2013-11-10,5,236.54715005505352
工作日,9,2013-11-10,6,255.31409698264181
工作日,9,2013-11-10,7,237.1215132322562
工作日,9,2013-11-10,8,509.09452335010053
工作日,9,2013-11-10,9,1151.215118491077
工作日,9,2013-11-10,10,1620.6724368416483
工作日,9,2013-11-10,11,2222.2625262137826
工作日,9,2013-11-10,12,2137.7227561294053
工作日,9,2013-11-10,13,1779.042480573697
工作日,9,2013-11-10,14,1573.5769022128486
工作日,9,2013-11-10,15,1748.1720768572368
工作日,9,2013-11-10,16,1803.0682772800178
工作日,9,2013-11-10,17,2224.7664389497463
工作日,9,2013-11-10,18,2454.2910769418513
工作日,9,2013-11-10,19,2458.6139662782466
工作日,9,2013-11-10,20,2111.123284376941
工作日,9,2013-11-10,21,1557.3056761364596
工作日,9,2013-11-10,22,1267.5199561228471
工作日,9,2013-11-10,23,1023.2934939222689
工作日,10,2013-11-11,0,511.6280228370337
工作日,10,2013-11-11,1,258.80054529195786
工作日,10,2013-11-11,2,191.18252547399854
工作日,10,2013-11-11,3,143.71218880010912
工作日,10,2013-11-11,4,159.99138274298602
工作日,10,2013-11-11,5,123.17337271130607
工作日,10,2013-11-11,6,327.2758125683634
工作日,10,2013-11-11,7,1001.8825248649385
工作日,10,2013-11-11,8,2484.423169756954
工作日,10,2013-11-11,9,3356.998325976351
工作日,10,2013-11-11,10,2986.7100781539234
工作日,10,2013-11-11,11,2633.602640030443
工作日,10,2013-11-11,12,2933.509855215036
工作日,10,2013-11-11,13,2704.534101800144
工作日,10,2013-11-11,14,3313.29966679878
工作日,10,2013-11-11,15,3048.9233615648436
工作日,10,2013-11-11,16,3026.4837961819926
工作日,10,2013-11-11,17,3537.720551332882
工作日,10,2013-11-11,18,3251.6496272153518
工作日,10,2013-11-11,19,2963.643118372928
工作日,10,2013-11-11,20,2306.2675860391573
工作日,10,2013-11-11,21,1941.3558585291537
工作日,10,2013-11-11,22,1377.8996886453306
工作日,10,2013-11-11,23,1065.0185124101042
工作日,11,2013-11-12,0,599.3275518894076
工作日,11,2013-11-12,1,312.05666239439756
工作日,11,2013-11-12,2,177.30596477292283
工作日,11,2013-11-12,3,137.59265106555284
工作日,11,2013-11-12,4,93.99302068149184
工作日,11,2013-11-12,5,176.86720450981534
工作日,11,2013-11-12,6,368.62026708026593
工作日,11,2013-11-12,7,951.8637300950896
工作日,11,2013-11-12,8,2627.1459076110514
工作日,11,2013-11-12,9,2774.2313911179367
工作日,11,2013-11-12,10,2972.0297789610404
工作日,11,2013-11-12,11,3158.6369428726166
工作日,11,2013-11-12,12,3051.120161785407
工作日,11,2013-11-12,13,2681.7851253557483
工作日,11,2013-11-12,14,3325.373438030581
工作日,11,2013-11-12,15,2956.8394218729045
工作日,11,2013-11-12,16,2978.718141223183
工作日,11,2013-11-12,17,3800.914559054743
工作日,11,2013-11-12,18,3524.389727817387
工作日,11,2013-11-12,19,3704.101651064496
工作日,11,2013-11-12,20,2676.1204204755095
工作日,11,2013-11-12,21,1950.4545440082793
工作日,11,2013-11-12,22,1394.0714537409008
工作日,11,2013-11-12,23,1121.0527302639043
工作日,12,2013-11-13,0,469.58057676113515
工作日,12,2013-11-13,1,307.8508720680014
工作日,12,2013-11-13,2,160.60594295107555
工作日,12,2013-11-13,3,141.54243842486596
工作日,12,2013-11-13,4,113.95718619366744
工作日,12,2013-11-13,5,162.30520298532687
工作日,12,2013-11-13,6,303.9918158444115
工作日,12,2013-11-13,7,1011.3042432077236
工作日,12,2013-11-13,8,2482.112874059303
工作日,12,2013-11-13,9,3234.933961590662
工作日,12,2013-11-13,10,3024.5736746695084
工作日,12,2013-11-13,11,3169.3472417075163
工作日,12,2013-11-13,12,2963.7110032213122
工作日,12,2013-11-13,13,2852.4330274471135
工作日,12,2013-11-13,14,2718.8587413069126
工作日,12,2013-11-13,15,2827.0080875908648
工作日,12,2013-11-13,16,3201.52110653391
工作日,12,2013-11-13,17,3457.6093614977
工作日,12,2013-11-13,18,3503.107295364001
工作日,12,2013-11-13,19,3080.455569073185
工作日,12,2013-11-13,20,2584.383214506366
工作日,12,2013-11-13,21,2156.087124777971
工作日,12,2013-11-13,22,1882.272508670078
工作日,12,2013-11-13,23,1141.2667404652784
工作日,13,2013-11-14,0,683.821466820297
工作日,13,2013-11-14,1,356.813515301953
工作日,13,2013-11-14,2,221.17825364515826
工作日,13,2013-11-14,3,167.8517373093799
工作日,13,2013-11-14,4,126.97884886631276
工作日,13,2013-11-14,5,174.7227819510189
工作日,13,2013-11-14,6,272.05113043071015
工作日,13,2013-11-14,7,930.6635237167146
工作日,13,2013-11-14,8,2512.1044045689378
工作日,13,2013-11-14,9,3262.215105663448
工作日,13,2013-11-14,10,3144.6567537872493
工作日,13,2013-11-14,11,2950.964131903196
工作日,13,2013-11-14,12,3246.536084424874
工作日,13,2013-11-14,13,2798.433310144383
工作日,13,2013-11-14,14,3255.514421514599
工作日,13,2013-11-14,15,2842.1148367384303
工作日,13,2013-11-14,16,3608.488270963067
工作日,13,2013-11-14,17,3394.3764626885504
工作日,13,2013-11-14,18,3591.4234645608326
